,X (sequence),y (target)
47,"0.1301,0.1511,0.1597,0.1537,0.1461,0.1458,0.3031,0.1859,0.0952,0.0825,0.0886,0.0818",0.1016
48,"0.1511,0.1597,0.1537,0.1461,0.1458,0.3031,0.1859,0.0952,0.0825,0.0886,0.0818,0.1016",0.1325
49,"0.1597,0.1537,0.1461,0.1458,0.3031,0.1859,0.0952,0.0825,0.0886,0.0818,0.1016,0.1325",0.2034
50,"0.1537,0.1461,0.1458,0.3031,0.1859,0.0952,0.0825,0.0886,0.0818,0.1016,0.1325,0.2034",0.2066
51,"0.1461,0.1458,0.3031,0.1859,0.0952,0.0825,0.0886,0.0818,0.1016,0.1325,0.2034,0.2066",0.2829
52,"0.1458,0.3031,0.1859,0.0952,0.0825,0.0886,0.0818,0.1016,0.1325,0.2034,0.2066,0.2829",0.3111
53,"0.3031,0.1859,0.0952,0.0825,0.0886,0.0818,0.1016,0.1325,0.2034,0.2066,0.2829,0.3111",0.3613
54,"0.1859,0.0952,0.0825,0.0886,0.0818,0.1016,0.1325,0.2034,0.2066,0.2829,0.3111,0.3613",0.4096
55,"0.0952,0.0825,0.0886,0.0818,0.1016,0.1325,0.2034,0.2066,0.2829,0.3111,0.3613,0.4096",0.4866
56,"0.0825,0.0886,0.0818,0.1016,0.1325,0.2034,0.2066,0.2829,0.3111,0.3613,0.4096,0.4866",0.4543
57,"0.0886,0.0818,0.1016,0.1325,0.2034,0.2066,0.2829,0.3111,0.3613,0.4096,0.4866,0.4543",0.4837
58,"0.0818,0.1016,0.1325,0.2034,0.2066,0.2829,0.3111,0.3613,0.4096,0.4866,0.4543,0.4837",0.4725
59,"0.1016,0.1325,0.2034,0.2066,0.2829,0.3111,0.3613,0.4096,0.4866,0.4543,0.4837,0.4725",0.4644
60,"0.1325,0.2034,0.2066,0.2829,0.3111,0.3613,0.4096,0.4866,0.4543,0.4837,0.4725,0.4644",0.5598
61,"0.2034,0.2066,0.2829,0.3111,0.3613,0.4096,0.4866,0.4543,0.4837,0.4725,0.4644,0.5598",0.712
62,"0.2066,0.2829,0.3111,0.3613,0.4096,0.4866,0.4543,0.4837,0.4725,0.4644,0.5598,0.712",0.6755
63,"0.2829,0.3111,0.3613,0.4096,0.4866,0.4543,0.4837,0.4725,0.4644,0.5598,0.712,0.6755",0.6908
64,"0.3111,0.3613,0.4096,0.4866,0.4543,0.4837,0.4725,0.4644,0.5598,0.712,0.6755,0.6908",0.8195
65,"0.3613,0.4096,0.4866,0.4543,0.4837,0.4725,0.4644,0.5598,0.712,0.6755,0.6908,0.8195",1
66,"0.4096,0.4866,0.4543,0.4837,0.4725,0.4644,0.5598,0.712,0.6755,0.6908,0.8195,1",0.9495
67,"0.4866,0.4543,0.4837,0.4725,0.4644,0.5598,0.712,0.6755,0.6908,0.8195,1,0.9495",0.6883
68,"0.4543,0.4837,0.4725,0.4644,0.5598,0.712,0.6755,0.6908,0.8195,1,0.9495,0.6883",0.9481
69,"0.4837,0.4725,0.4644,0.5598,0.712,0.6755,0.6908,0.8195,1,0.9495,0.6883,0.9481",0.7244
70,"0.4725,0.4644,0.5598,0.712,0.6755,0.6908,0.8195,1,0.9495,0.6883,0.9481,0.7244",0.4749
71,"0.4644,0.5598,0.712,0.6755,0.6908,0.8195,1,0.9495,0.6883,0.9481,0.7244,0.4749",0.4991
72,"0.5598,0.712,0.6755,0.6908,0.8195,1,0.9495,0.6883,0.9481,0.7244,0.4749,0.4991",0.5567
73,"0.712,0.6755,0.6908,0.8195,1,0.9495,0.6883,0.9481,0.7244,0.4749,0.4991,0.5567",0.4835
74,"0.6755,0.6908,0.8195,1,0.9495,0.6883,0.9481,0.7244,0.4749,0.4991,0.5567,0.4835",0.5514
75,"0.6908,0.8195,1,0.9495,0.6883,0.9481,0.7244,0.4749,0.4991,0.5567,0.4835,0.5514",0.7574
76,"0.8195,1,0.9495,0.6883,0.9481,0.7244,0.4749,0.4991,0.5567,0.4835,0.5514,0.7574",0.8507
77,"1,0.9495,0.6883,0.9481,0.7244,0.4749,0.4991,0.5567,0.4835,0.5514,0.7574,0.8507",0.7893
78,"0.9495,0.6883,0.9481,0.7244,0.4749,0.4991,0.5567,0.4835,0.5514,0.7574,0.8507,0.7893",0.4906
79,"0.6883,0.9481,0.7244,0.4749,0.4991,0.5567,0.4835,0.5514,0.7574,0.8507,0.7893,0.4906",0.6776
80,"0.9481,0.7244,0.4749,0.4991,0.5567,0.4835,0.5514,0.7574,0.8507,0.7893,0.4906,0.6776",0.7607
81,"0.7244,0.4749,0.4991,0.5567,0.4835,0.5514,0.7574,0.8507,0.7893,0.4906,0.6776,0.7607",0.668
82,"0.4749,0.4991,0.5567,0.4835,0.5514,0.7574,0.8507,0.7893,0.4906,0.6776,0.7607,0.668",0.6247
83,"0.4991,0.5567,0.4835,0.5514,0.7574,0.8507,0.7893,0.4906,0.6776,0.7607,0.668,0.6247",0.4852
84,"0.5567,0.4835,0.5514,0.7574,0.8507,0.7893,0.4906,0.6776,0.7607,0.668,0.6247,0.4852",0.4028
85,"0.4835,0.5514,0.7574,0.8507,0.7893,0.4906,0.6776,0.7607,0.668,0.6247,0.4852,0.4028",0.4809
86,"0.5514,0.7574,0.8507,0.7893,0.4906,0.6776,0.7607,0.668,0.6247,0.4852,0.4028,0.4809",0.4968
87,"0.7574,0.8507,0.7893,0.4906,0.6776,0.7607,0.668,0.6247,0.4852,0.4028,0.4809,0.4968",0.472
88,"0.8507,0.7893,0.4906,0.6776,0.7607,0.668,0.6247,0.4852,0.4028,0.4809,0.4968,0.472",0.4991
89,"0.7893,0.4906,0.6776,0.7607,0.668,0.6247,0.4852,0.4028,0.4809,0.4968,0.472,0.4991",0.6259
90,"0.4906,0.6776,0.7607,0.668,0.6247,0.4852,0.4028,0.4809,0.4968,0.472,0.4991,0.6259",0.632
91,"0.6776,0.7607,0.668,0.6247,0.4852,0.4028,0.4809,0.4968,0.472,0.4991,0.6259,0.632",0.6669
92,"0.7607,0.668,0.6247,0.4852,0.4028,0.4809,0.4968,0.472,0.4991,0.6259,0.632,0.6669",0.6305
93,"0.668,0.6247,0.4852,0.4028,0.4809,0.4968,0.472,0.4991,0.6259,0.632,0.6669,0.6305",0.557
94,"0.6247,0.4852,0.4028,0.4809,0.4968,0.472,0.4991,0.6259,0.632,0.6669,0.6305,0.557",0.624
95,"0.4852,0.4028,0.4809,0.4968,0.472,0.4991,0.6259,0.632,0.6669,0.6305,0.557,0.624",0.6199
96,"0.4028,0.4809,0.4968,0.472,0.4991,0.6259,0.632,0.6669,0.6305,0.557,0.624,0.6199",0.5832
97,"0.4809,0.4968,0.472,0.4991,0.6259,0.632,0.6669,0.6305,0.557,0.624,0.6199,0.5832",0.5856
98,"0.4968,0.472,0.4991,0.6259,0.632,0.6669,0.6305,0.557,0.624,0.6199,0.5832,0.5856",0.5276
99,"0.472,0.4991,0.6259,0.632,0.6669,0.6305,0.557,0.624,0.6199,0.5832,0.5856,0.5276",0.5619
100,"0.4991,0.6259,0.632,0.6669,0.6305,0.557,0.624,0.6199,0.5832,0.5856,0.5276,0.5619",0.528
101,"0.6259,0.632,0.6669,0.6305,0.557,0.624,0.6199,0.5832,0.5856,0.5276,0.5619,0.528",0.5219
102,"0.632,0.6669,0.6305,0.557,0.624,0.6199,0.5832,0.5856,0.5276,0.5619,0.528,0.5219",0.5489
