,Date,Close
0,2015-11-01T00:00:00.000,11.56
1,2015-12-01T00:00:00.000,11.76
2,2016-01-01T00:00:00.000,9.88
3,2016-02-01T00:00:00.000,10.22
4,2016-03-01T00:00:00.000,9.4
5,2016-04-01T00:00:00.000,11.62
6,2016-05-01T00:00:00.000,11.71
7,2016-06-01T00:00:00.000,11.09
8,2016-07-01T00:00:00.000,9.75
9,2016-08-01T00:00:00.000,9.46
10,2016-09-01T00:00:00.000,10.68
11,2016-10-01T00:00:00.000,10.59
12,2016-11-01T00:00:00.000,10.51
13,2016-12-01T00:00:00.000,12.82
14,2017-01-01T00:00:00.000,16.71
15,2017-02-01T00:00:00.000,16.49
16,2017-03-01T00:00:00.000,16.06
17,2017-04-01T00:00:00.000,15.76
18,2017-05-01T00:00:00.000,16.24
19,2017-06-01T00:00:00.000,14.88
20,2017-07-01T00:00:00.000,19.5
21,2017-08-01T00:00:00.000,21.21
22,2017-09-01T00:00:00.000,20.87
23,2017-10-01T00:00:00.000,22.2
24,2017-11-01T00:00:00.000,18.57
25,2017-12-01T00:00:00.000,19.77
26,2018-01-01T00:00:00.000,19.72
27,2018-02-01T00:00:00.000,19.68
28,2018-03-01T00:00:00.000,18.71
29,2018-04-01T00:00:00.000,21.01
30,2018-05-01T00:00:00.000,21.31
31,2018-06-01T00:00:00.000,18
32,2018-07-01T00:00:00.000,20.47
33,2018-08-01T00:00:00.000,21.82
34,2018-09-01T00:00:00.000,19.56
35,2018-10-01T00:00:00.000,19.64
36,2018-11-01T00:00:00.000,17.09
37,2018-12-01T00:00:00.000,13.46
38,2019-01-01T00:00:00.000,13.22
39,2019-02-01T00:00:00.000,15.56
40,2019-03-01T00:00:00.000,16.94
41,2019-04-01T00:00:00.000,16.49
42,2019-05-01T00:00:00.000,17.24
43,2019-06-01T00:00:00.000,23.13
44,2019-07-01T00:00:00.000,23
45,2019-08-01T00:00:00.000,38.27
46,2019-09-01T00:00:00.000,39.84
47,2019-10-01T00:00:00.000,39.36
48,2019-11-01T00:00:00.000,44.19
49,2019-12-01T00:00:00.000,46.18
50,2020-01-01T00:00:00.000,44.79
51,2020-02-01T00:00:00.000,43.04
52,2020-03-01T00:00:00.000,42.98
53,2020-04-01T00:00:00.000,79.2
54,2020-05-01T00:00:00.000,52.22
55,2020-06-01T00:00:00.000,31.33
56,2020-07-01T00:00:00.000,28.4
57,2020-08-01T00:00:00.000,29.81
58,2020-09-01T00:00:00.000,28.25
59,2020-10-01T00:00:00.000,32.81
60,2020-11-01T00:00:00.000,39.91
61,2020-12-01T00:00:00.000,56.25
62,2021-01-01T00:00:00.000,56.98
63,2021-02-01T00:00:00.000,74.55
64,2021-03-01T00:00:00.000,81.04
65,2021-04-01T00:00:00.000,92.6
66,2021-05-01T00:00:00.000,103.74
67,2021-06-01T00:00:00.000,121.48
68,2021-07-01T00:00:00.000,114.04
69,2021-08-01T00:00:00.000,120.79
70,2021-09-01T00:00:00.000,118.23
71,2021-10-01T00:00:00.000,116.35
72,2021-11-01T00:00:00.000,138.32
73,2021-12-01T00:00:00.000,173.37
74,2022-01-01T00:00:00.000,164.98
75,2022-02-01T00:00:00.000,168.49
76,2022-03-01T00:00:00.000,198.15
77,2022-04-01T00:00:00.000,239.71
78,2022-05-01T00:00:00.000,228.07
79,2022-06-01T00:00:00.000,167.93
80,2022-07-01T00:00:00.000,227.76
81,2022-08-01T00:00:00.000,176.23
82,2022-09-01T00:00:00.000,118.78
83,2022-10-01T00:00:00.000,124.35
84,2022-11-01T00:00:00.000,137.61
85,2022-12-01T00:00:00.000,120.75
86,2023-01-01T00:00:00.000,136.39
87,2023-02-01T00:00:00.000,183.84
88,2023-03-01T00:00:00.000,205.33
89,2023-04-01T00:00:00.000,191.18
90,2023-05-01T00:00:00.000,122.38
91,2023-06-01T00:00:00.000,165.46
92,2023-07-01T00:00:00.000,184.6
93,2023-08-01T00:00:00.000,163.24
94,2023-09-01T00:00:00.000,153.27
95,2023-10-01T00:00:00.000,121.14
96,2023-11-01T00:00:00.000,102.18
97,2023-12-01T00:00:00.000,120.16
98,2024-01-01T00:00:00.000,123.81
99,2024-02-01T00:00:00.000,118.11
100,2024-03-01T00:00:00.000,124.34
101,2024-04-01T00:00:00.000,153.54
102,2024-05-01T00:00:00.000,154.96
103,2024-06-01T00:00:00.000,162.99
104,2024-07-01T00:00:00.000,154.62
105,2024-08-01T00:00:00.000,137.69
106,2024-09-01T00:00:00.000,153.11
107,2024-10-01T00:00:00.000,152.17
108,2024-11-01T00:00:00.000,143.71
109,2024-12-01T00:00:00.000,144.27
110,2025-01-01T00:00:00.000,130.92
111,2025-02-01T00:00:00.000,138.82
112,2025-03-01T00:00:00.000,131.01
113,2025-04-01T00:00:00.000,129.6
114,2025-05-01T00:00:00.000,135.81
