,Layer (type),Output Shape,Param #
0,lstm_14 (LSTM),"(None, 24, 50)","10,400"
1,dropout_14 (Dropout),"(None, 24, 50)",0
2,lstm_15 (LSTM),"(None, 50)","20,200"
3,dropout_15 (Dropout),"(None, 50)",0
4,dense_7 (Dense),"(None, 1)",51
