Date,HLAG.DE,HLAG.DE,HLAG.DE,HLAG.DE,HLAG.DE
2015-11-06T00:00:00.000,11.799647331237793,11.910579680883902,11.67703830687932,11.706231682179656,1775788
2015-11-09T00:00:00.000,11.75877857208252,11.881386472483666,11.7208274087949,11.881386472483666,52918
2015-11-10T00:00:00.000,11.700392723083496,11.945610770566004,11.67703824809672,11.764616122197614,236784
2015-11-11T00:00:00.000,11.647846221923828,12.056542225110041,11.516479408254051,11.735424097703678,1004556
2015-11-12T00:00:00.000,11.677038192749023,11.77921275394231,11.618653694078239,11.624491468537549,56239
2015-11-13T00:00:00.000,11.61865520477295,11.674120823425895,11.58946182596213,11.624492979991308,87951
2015-11-16T00:00:00.000,11.589460372924805,11.612814847909423,11.501883624511617,11.571944798106243,258113
2015-11-17T00:00:00.000,11.717909812927246,11.729586489090519,11.50772288790976,11.61865525134002,18695
2015-11-18T00:00:00.000,11.677038192749023,11.793808315770203,11.677038192749022,11.758778291975498,10807
2015-11-19T00:00:00.000,11.525237083435059,11.793808482754335,11.385112483553826,11.706231733508192,300403
2015-11-20T00:00:00.000,11.706231117248535,11.706231117248535,11.437658606388291,11.560267624829773,73367
2015-11-23T00:00:00.000,11.606975555419922,11.764615723458624,11.5894599811934,11.677037852326011,12983
2015-11-24T00:00:00.000,11.449336051940918,11.560267267121441,11.379273757856575,11.533993906839813,138382
2015-11-25T00:00:00.000,11.539834022521973,11.665361937423414,11.379274956887137,11.531076234838624,149170
2015-11-26T00:00:00.000,11.501883506774902,11.501883506774902,11.350081109448196,11.431821208217839,140238
2015-11-27T00:00:00.000,11.779212951660156,12.961513140583962,11.38511251345901,11.39095141369594,338301
2015-11-30T00:00:00.000,11.560266494750977,12.085733665275773,11.478527532340271,11.618652111146883,92367
2015-12-01T00:00:00.000,11.542752265930176,11.563186727491477,11.297534224476207,11.560267840319744,208612
2015-12-02T00:00:00.000,11.677038192749023,11.677038192749022,11.425982371969505,11.472690196042056,21406
2015-12-03T00:00:00.000,12.027350425720215,12.11200941737264,11.533995415568459,11.533995415568459,50901
2015-12-04T00:00:00.000,11.852194786071777,12.147039564738755,11.793809157554104,12.076978386469113,39959
2015-12-07T00:00:00.000,12.727972030639648,12.844742158058441,11.968965639577673,11.968965639577673,193657
2015-12-08T00:00:00.000,12.546977996826172,12.78343825516263,12.316356638613444,12.669587019667299,74626
2015-12-09T00:00:00.000,12.473995208740234,12.552816417521584,12.158716002012653,12.552816417521584,53303
2015-12-10T00:00:00.000,12.190829277038574,12.672506477049241,11.823002191965962,12.672506477049241,34089
2015-12-11T00:00:00.000,12.109088897705078,12.202505673355573,11.942690934449917,12.176232310736337,13199
2015-12-14T00:00:00.000,12.05654239654541,12.441885055456051,11.995237882627809,12.418530579689461,67666
2015-12-15T00:00:00.000,12.027350425720215,12.436046444219548,11.793809039663683,11.881386918724923,38926
2015-12-16T00:00:00.000,12.158717155456543,12.304679535705468,12.106170428403809,12.260890596494857,8994
2015-12-17T00:00:00.000,11.968963623046875,12.34846619179945,11.770453426768237,12.34846619179945,99648
2015-12-18T00:00:00.000,11.799647331237793,12.1324432544965,11.770455081617078,11.957287505412971,16441
2015-12-21T00:00:00.000,11.910579681396484,12.13244325501863,11.866790744123717,11.898901881003999,11021
2015-12-22T00:00:00.000,11.945612907409668,12.123687574709132,11.945612907409668,12.123687574709132,11302
2015-12-23T00:00:00.000,12.243375778198242,12.243375778198244,11.802567511964563,12.059462239045963,26447
2015-12-25T00:00:00.000,12.243375778198242,12.243375778198244,12.243375778198244,12.243375778198244,0
2015-12-28T00:00:00.000,12.158717155456543,12.25505282171989,11.919337996331757,12.25505282171989,7065
2015-12-29T00:00:00.000,12.05654239654541,12.144120273570556,11.954368957135843,12.138282498888648,8359
2015-12-30T00:00:00.000,11.755858421325684,12.170393319894892,11.618653834677357,11.977721995454614,57848
2016-01-04T00:00:00.000,11.852194786071777,11.85219478607178,11.618654523360467,11.75877913125913,11119
2016-01-05T00:00:00.000,11.968963623046875,11.968963623046875,11.677036665164266,11.881384635138522,15933
2016-01-06T00:00:00.000,11.793808937072754,11.968965819351274,11.773374474029445,11.968965819351274,6533
2016-01-07T00:00:00.000,11.501883506774902,11.69163481491388,11.487286819348979,11.688715927700535,27502
2016-01-08T00:00:00.000,11.326728820800781,11.732504837026749,11.326728820800781,11.706232598287823,8781
2016-01-11T00:00:00.000,11.501883506774902,11.618653629143472,11.268342136358156,11.2712610235715,21680
2016-01-12T00:00:00.000,11.560266494750977,11.677036601863334,11.449335286982045,11.677036601863334,14415
2016-01-13T00:00:00.000,11.414304733276367,11.677038358053073,11.388032496478322,11.677038358053073,53118
2016-01-14T00:00:00.000,10.801260948181152,11.414304959109653,10.640701882867473,11.367597133451772,32571
2016-01-15T00:00:00.000,10.217409133911133,10.874242079718721,10.15902350788572,10.684490765075505,51959
2016-01-18T00:00:00.000,10.217409133911133,10.392564886307728,10.17653908312538,10.392564886307728,11129
2016-01-19T00:00:00.000,10.217409133911133,10.450949386653498,10.080203419307253,10.450949386653498,28699
2016-01-20T00:00:00.000,9.93423843383789,10.340016616757808,9.709456002276818,10.217407608386504,37014
2016-01-21T00:00:00.000,9.896289825439453,10.042253326868892,9.808713075397353,9.925483201133122,9102
2016-01-22T00:00:00.000,9.986786842346191,10.188215961626984,9.899210090077686,10.042253582166477,89148
2016-01-25T00:00:00.000,9.907966613769531,10.710762975416946,9.826226520993563,10.042252300930732,14139
2016-01-26T00:00:00.000,10.217409133911133,10.334179260282315,9.747408615433365,9.925483255143357,7934
