,X_train (sequence),y_train
25,"0.0104,0.0109,0.0089,0.0094,0.0114,0.0103,0.0109,0.0078,0.0055,0.008,0.0054,0.008,0.0027,0.0034,0.002,0.0018,0.0018,0.0027,0.0041,0.0064,0.0073,0.0093,0.0069,0.0067",0.0063
26,"0.0109,0.0089,0.0094,0.0114,0.0103,0.0109,0.0078,0.0055,0.008,0.0054,0.008,0.0027,0.0034,0.002,0.0018,0.0018,0.0027,0.0041,0.0064,0.0073,0.0093,0.0069,0.0067,0.0063",0.0067
27,"0.0089,0.0094,0.0114,0.0103,0.0109,0.0078,0.0055,0.008,0.0054,0.008,0.0027,0.0034,0.002,0.0018,0.0018,0.0027,0.0041,0.0064,0.0073,0.0093,0.0069,0.0067,0.0063,0.0067",0.0066
28,"0.0094,0.0114,0.0103,0.0109,0.0078,0.0055,0.008,0.0054,0.008,0.0027,0.0034,0.002,0.0018,0.0018,0.0027,0.0041,0.0064,0.0073,0.0093,0.0069,0.0067,0.0063,0.0067,0.0066",0.0044
29,"0.0114,0.0103,0.0109,0.0078,0.0055,0.008,0.0054,0.008,0.0027,0.0034,0.002,0.0018,0.0018,0.0027,0.0041,0.0064,0.0073,0.0093,0.0069,0.0067,0.0063,0.0067,0.0066,0.0044",0.0066
30,"0.0103,0.0109,0.0078,0.0055,0.008,0.0054,0.008,0.0027,0.0034,0.002,0.0018,0.0018,0.0027,0.0041,0.0064,0.0073,0.0093,0.0069,0.0067,0.0063,0.0067,0.0066,0.0044,0.0066",0.005
31,"0.0109,0.0078,0.0055,0.008,0.0054,0.008,0.0027,0.0034,0.002,0.0018,0.0018,0.0027,0.0041,0.0064,0.0073,0.0093,0.0069,0.0067,0.0063,0.0067,0.0066,0.0044,0.0066,0.005",0.0059
32,"0.0078,0.0055,0.008,0.0054,0.008,0.0027,0.0034,0.002,0.0018,0.0018,0.0027,0.0041,0.0064,0.0073,0.0093,0.0069,0.0067,0.0063,0.0067,0.0066,0.0044,0.0066,0.005,0.0059",0.0062
33,"0.0055,0.008,0.0054,0.008,0.0027,0.0034,0.002,0.0018,0.0018,0.0027,0.0041,0.0064,0.0073,0.0093,0.0069,0.0067,0.0063,0.0067,0.0066,0.0044,0.0066,0.005,0.0059,0.0062",0.0116
34,"0.008,0.0054,0.008,0.0027,0.0034,0.002,0.0018,0.0018,0.0027,0.0041,0.0064,0.0073,0.0093,0.0069,0.0067,0.0063,0.0067,0.0066,0.0044,0.0066,0.005,0.0059,0.0062,0.0116",0.0129
35,"0.0054,0.008,0.0027,0.0034,0.002,0.0018,0.0018,0.0027,0.0041,0.0064,0.0073,0.0093,0.0069,0.0067,0.0063,0.0067,0.0066,0.0044,0.0066,0.005,0.0059,0.0062,0.0116,0.0129",0.0136
36,"0.008,0.0027,0.0034,0.002,0.0018,0.0018,0.0027,0.0041,0.0064,0.0073,0.0093,0.0069,0.0067,0.0063,0.0067,0.0066,0.0044,0.0066,0.005,0.0059,0.0062,0.0116,0.0129,0.0136",0.0149
37,"0.0027,0.0034,0.002,0.0018,0.0018,0.0027,0.0041,0.0064,0.0073,0.0093,0.0069,0.0067,0.0063,0.0067,0.0066,0.0044,0.0066,0.005,0.0059,0.0062,0.0116,0.0129,0.0136,0.0149",0.0165
38,"0.0034,0.002,0.0018,0.0018,0.0027,0.0041,0.0064,0.0073,0.0093,0.0069,0.0067,0.0063,0.0067,0.0066,0.0044,0.0066,0.005,0.0059,0.0062,0.0116,0.0129,0.0136,0.0149,0.0165",0.0245
39,"0.002,0.0018,0.0018,0.0027,0.0041,0.0064,0.0073,0.0093,0.0069,0.0067,0.0063,0.0067,0.0066,0.0044,0.0066,0.005,0.0059,0.0062,0.0116,0.0129,0.0136,0.0149,0.0165,0.0245",0.0288
40,"0.0018,0.0018,0.0027,0.0041,0.0064,0.0073,0.0093,0.0069,0.0067,0.0063,0.0067,0.0066,0.0044,0.0066,0.005,0.0059,0.0062,0.0116,0.0129,0.0136,0.0149,0.0165,0.0245,0.0288",0.0297
41,"0.0018,0.0027,0.0041,0.0064,0.0073,0.0093,0.0069,0.0067,0.0063,0.0067,0.0066,0.0044,0.0066,0.005,0.0059,0.0062,0.0116,0.0129,0.0136,0.0149,0.0165,0.0245,0.0288,0.0297",0.0272
42,"0.0027,0.0041,0.0064,0.0073,0.0093,0.0069,0.0067,0.0063,0.0067,0.0066,0.0044,0.0066,0.005,0.0059,0.0062,0.0116,0.0129,0.0136,0.0149,0.0165,0.0245,0.0288,0.0297,0.0272",0.0275
43,"0.0041,0.0064,0.0073,0.0093,0.0069,0.0067,0.0063,0.0067,0.0066,0.0044,0.0066,0.005,0.0059,0.0062,0.0116,0.0129,0.0136,0.0149,0.0165,0.0245,0.0288,0.0297,0.0272,0.0275",0.0273
44,"0.0064,0.0073,0.0093,0.0069,0.0067,0.0063,0.0067,0.0066,0.0044,0.0066,0.005,0.0059,0.0062,0.0116,0.0129,0.0136,0.0149,0.0165,0.0245,0.0288,0.0297,0.0272,0.0275,0.0273",0.0268
45,"0.0073,0.0093,0.0069,0.0067,0.0063,0.0067,0.0066,0.0044,0.0066,0.005,0.0059,0.0062,0.0116,0.0129,0.0136,0.0149,0.0165,0.0245,0.0288,0.0297,0.0272,0.0275,0.0273,0.0268",0.0315
46,"0.0093,0.0069,0.0067,0.0063,0.0067,0.0066,0.0044,0.0066,0.005,0.0059,0.0062,0.0116,0.0129,0.0136,0.0149,0.0165,0.0245,0.0288,0.0297,0.0272,0.0275,0.0273,0.0268,0.0315",0.0332
