,X_train (sequence),y_train
111,"0.0366,0.0411,0.0448,0.0459,0.0453,0.042,0.0416,0.0356,0.0384,0.0373,0.0384,0.0369,0.0385,0.0334,0.0371,0.0334,0.0391,0.0458,0.0458,0.0438,0.0445,0.0431,0.0496,0.049",0.0466
112,"0.0411,0.0448,0.0459,0.0453,0.042,0.0416,0.0356,0.0384,0.0373,0.0384,0.0369,0.0385,0.0334,0.0371,0.0334,0.0391,0.0458,0.0458,0.0438,0.0445,0.0431,0.0496,0.049,0.0466",0.049
113,"0.0448,0.0459,0.0453,0.042,0.0416,0.0356,0.0384,0.0373,0.0384,0.0369,0.0385,0.0334,0.0371,0.0334,0.0391,0.0458,0.0458,0.0438,0.0445,0.0431,0.0496,0.049,0.0466,0.049",0.0489
114,"0.0459,0.0453,0.042,0.0416,0.0356,0.0384,0.0373,0.0384,0.0369,0.0385,0.0334,0.0371,0.0334,0.0391,0.0458,0.0458,0.0438,0.0445,0.0431,0.0496,0.049,0.0466,0.049,0.0489",0.0344
115,"0.0453,0.042,0.0416,0.0356,0.0384,0.0373,0.0384,0.0369,0.0385,0.0334,0.0371,0.0334,0.0391,0.0458,0.0458,0.0438,0.0445,0.0431,0.0496,0.049,0.0466,0.049,0.0489,0.0344",0.0365
116,"0.042,0.0416,0.0356,0.0384,0.0373,0.0384,0.0369,0.0385,0.0334,0.0371,0.0334,0.0391,0.0458,0.0458,0.0438,0.0445,0.0431,0.0496,0.049,0.0466,0.049,0.0489,0.0344,0.0365",0.0418
117,"0.0416,0.0356,0.0384,0.0373,0.0384,0.0369,0.0385,0.0334,0.0371,0.0334,0.0391,0.0458,0.0458,0.0438,0.0445,0.0431,0.0496,0.049,0.0466,0.049,0.0489,0.0344,0.0365,0.0418",0.0386
118,"0.0356,0.0384,0.0373,0.0384,0.0369,0.0385,0.0334,0.0371,0.0334,0.0391,0.0458,0.0458,0.0438,0.0445,0.0431,0.0496,0.049,0.0466,0.049,0.0489,0.0344,0.0365,0.0418,0.0386",0.0492
119,"0.0384,0.0373,0.0384,0.0369,0.0385,0.0334,0.0371,0.0334,0.0391,0.0458,0.0458,0.0438,0.0445,0.0431,0.0496,0.049,0.0466,0.049,0.0489,0.0344,0.0365,0.0418,0.0386,0.0492",0.0432
120,"0.0373,0.0384,0.0369,0.0385,0.0334,0.0371,0.0334,0.0391,0.0458,0.0458,0.0438,0.0445,0.0431,0.0496,0.049,0.0466,0.049,0.0489,0.0344,0.0365,0.0418,0.0386,0.0492,0.0432",0.0482
121,"0.0384,0.0369,0.0385,0.0334,0.0371,0.0334,0.0391,0.0458,0.0458,0.0438,0.0445,0.0431,0.0496,0.049,0.0466,0.049,0.0489,0.0344,0.0365,0.0418,0.0386,0.0492,0.0432,0.0482",0.0466
122,"0.0369,0.0385,0.0334,0.0371,0.0334,0.0391,0.0458,0.0458,0.0438,0.0445,0.0431,0.0496,0.049,0.0466,0.049,0.0489,0.0344,0.0365,0.0418,0.0386,0.0492,0.0432,0.0482,0.0466",0.0492
123,"0.0385,0.0334,0.0371,0.0334,0.0391,0.0458,0.0458,0.0438,0.0445,0.0431,0.0496,0.049,0.0466,0.049,0.0489,0.0344,0.0365,0.0418,0.0386,0.0492,0.0432,0.0482,0.0466,0.0492",0.0488
124,"0.0334,0.0371,0.0334,0.0391,0.0458,0.0458,0.0438,0.0445,0.0431,0.0496,0.049,0.0466,0.049,0.0489,0.0344,0.0365,0.0418,0.0386,0.0492,0.0432,0.0482,0.0466,0.0492,0.0488",0.0501
125,"0.0371,0.0334,0.0391,0.0458,0.0458,0.0438,0.0445,0.0431,0.0496,0.049,0.0466,0.049,0.0489,0.0344,0.0365,0.0418,0.0386,0.0492,0.0432,0.0482,0.0466,0.0492,0.0488,0.0501",0.0503
126,"0.0334,0.0391,0.0458,0.0458,0.0438,0.0445,0.0431,0.0496,0.049,0.0466,0.049,0.0489,0.0344,0.0365,0.0418,0.0386,0.0492,0.0432,0.0482,0.0466,0.0492,0.0488,0.0501,0.0503",0.0449
127,"0.0391,0.0458,0.0458,0.0438,0.0445,0.0431,0.0496,0.049,0.0466,0.049,0.0489,0.0344,0.0365,0.0418,0.0386,0.0492,0.0432,0.0482,0.0466,0.0492,0.0488,0.0501,0.0503,0.0449",0.0403
128,"0.0458,0.0458,0.0438,0.0445,0.0431,0.0496,0.049,0.0466,0.049,0.0489,0.0344,0.0365,0.0418,0.0386,0.0492,0.0432,0.0482,0.0466,0.0492,0.0488,0.0501,0.0503,0.0449,0.0403",0.0407
129,"0.0458,0.0438,0.0445,0.0431,0.0496,0.049,0.0466,0.049,0.0489,0.0344,0.0365,0.0418,0.0386,0.0492,0.0432,0.0482,0.0466,0.0492,0.0488,0.0501,0.0503,0.0449,0.0403,0.0407",0.0407
130,"0.0438,0.0445,0.0431,0.0496,0.049,0.0466,0.049,0.0489,0.0344,0.0365,0.0418,0.0386,0.0492,0.0432,0.0482,0.0466,0.0492,0.0488,0.0501,0.0503,0.0449,0.0403,0.0407,0.0407",0.0393
131,"0.0445,0.0431,0.0496,0.049,0.0466,0.049,0.0489,0.0344,0.0365,0.0418,0.0386,0.0492,0.0432,0.0482,0.0466,0.0492,0.0488,0.0501,0.0503,0.0449,0.0403,0.0407,0.0407,0.0393",0.0361
132,"0.0431,0.0496,0.049,0.0466,0.049,0.0489,0.0344,0.0365,0.0418,0.0386,0.0492,0.0432,0.0482,0.0466,0.0492,0.0488,0.0501,0.0503,0.0449,0.0403,0.0407,0.0407,0.0393,0.0361",0.0387
133,"0.0496,0.049,0.0466,0.049,0.0489,0.0344,0.0365,0.0418,0.0386,0.0492,0.0432,0.0482,0.0466,0.0492,0.0488,0.0501,0.0503,0.0449,0.0403,0.0407,0.0407,0.0393,0.0361,0.0387",0.0362
134,"0.049,0.0466,0.049,0.0489,0.0344,0.0365,0.0418,0.0386,0.0492,0.0432,0.0482,0.0466,0.0492,0.0488,0.0501,0.0503,0.0449,0.0403,0.0407,0.0407,0.0393,0.0361,0.0387,0.0362",0.0343
135,"0.0466,0.049,0.0489,0.0344,0.0365,0.0418,0.0386,0.0492,0.0432,0.0482,0.0466,0.0492,0.0488,0.0501,0.0503,0.0449,0.0403,0.0407,0.0407,0.0393,0.0361,0.0387,0.0362,0.0343",0.0351
136,"0.049,0.0489,0.0344,0.0365,0.0418,0.0386,0.0492,0.0432,0.0482,0.0466,0.0492,0.0488,0.0501,0.0503,0.0449,0.0403,0.0407,0.0407,0.0393,0.0361,0.0387,0.0362,0.0343,0.0351",0.031
137,"0.0489,0.0344,0.0365,0.0418,0.0386,0.0492,0.0432,0.0482,0.0466,0.0492,0.0488,0.0501,0.0503,0.0449,0.0403,0.0407,0.0407,0.0393,0.0361,0.0387,0.0362,0.0343,0.0351,0.031",0.0285
138,"0.0344,0.0365,0.0418,0.0386,0.0492,0.0432,0.0482,0.0466,0.0492,0.0488,0.0501,0.0503,0.0449,0.0403,0.0407,0.0407,0.0393,0.0361,0.0387,0.0362,0.0343,0.0351,0.031,0.0285",0.0251
139,"0.0365,0.0418,0.0386,0.0492,0.0432,0.0482,0.0466,0.0492,0.0488,0.0501,0.0503,0.0449,0.0403,0.0407,0.0407,0.0393,0.0361,0.0387,0.0362,0.0343,0.0351,0.031,0.0285,0.0251",0.0182
140,"0.0418,0.0386,0.0492,0.0432,0.0482,0.0466,0.0492,0.0488,0.0501,0.0503,0.0449,0.0403,0.0407,0.0407,0.0393,0.0361,0.0387,0.0362,0.0343,0.0351,0.031,0.0285,0.0251,0.0182",0.0173
141,"0.0386,0.0492,0.0432,0.0482,0.0466,0.0492,0.0488,0.0501,0.0503,0.0449,0.0403,0.0407,0.0407,0.0393,0.0361,0.0387,0.0362,0.0343,0.0351,0.031,0.0285,0.0251,0.0182,0.0173",0.0173
142,"0.0492,0.0432,0.0482,0.0466,0.0492,0.0488,0.0501,0.0503,0.0449,0.0403,0.0407,0.0407,0.0393,0.0361,0.0387,0.0362,0.0343,0.0351,0.031,0.0285,0.0251,0.0182,0.0173,0.0173",0.0208
143,"0.0432,0.0482,0.0466,0.0492,0.0488,0.0501,0.0503,0.0449,0.0403,0.0407,0.0407,0.0393,0.0361,0.0387,0.0362,0.0343,0.0351,0.031,0.0285,0.0251,0.0182,0.0173,0.0173,0.0208",0.0203
144,"0.0482,0.0466,0.0492,0.0488,0.0501,0.0503,0.0449,0.0403,0.0407,0.0407,0.0393,0.0361,0.0387,0.0362,0.0343,0.0351,0.031,0.0285,0.0251,0.0182,0.0173,0.0173,0.0208,0.0203",0.021
145,"0.0466,0.0492,0.0488,0.0501,0.0503,0.0449,0.0403,0.0407,0.0407,0.0393,0.0361,0.0387,0.0362,0.0343,0.0351,0.031,0.0285,0.0251,0.0182,0.0173,0.0173,0.0208,0.0203,0.021",0.0161
146,"0.0492,0.0488,0.0501,0.0503,0.0449,0.0403,0.0407,0.0407,0.0393,0.0361,0.0387,0.0362,0.0343,0.0351,0.031,0.0285,0.0251,0.0182,0.0173,0.0173,0.0208,0.0203,0.021,0.0161",0.0181
147,"0.0488,0.0501,0.0503,0.0449,0.0403,0.0407,0.0407,0.0393,0.0361,0.0387,0.0362,0.0343,0.0351,0.031,0.0285,0.0251,0.0182,0.0173,0.0173,0.0208,0.0203,0.021,0.0161,0.0181",0.0228
148,"0.0501,0.0503,0.0449,0.0403,0.0407,0.0407,0.0393,0.0361,0.0387,0.0362,0.0343,0.0351,0.031,0.0285,0.0251,0.0182,0.0173,0.0173,0.0208,0.0203,0.021,0.0161,0.0181,0.0228",0.0264
149,"0.0503,0.0449,0.0403,0.0407,0.0407,0.0393,0.0361,0.0387,0.0362,0.0343,0.0351,0.031,0.0285,0.0251,0.0182,0.0173,0.0173,0.0208,0.0203,0.021,0.0161,0.0181,0.0228,0.0264",0.0247
150,"0.0449,0.0403,0.0407,0.0407,0.0393,0.0361,0.0387,0.0362,0.0343,0.0351,0.031,0.0285,0.0251,0.0182,0.0173,0.0173,0.0208,0.0203,0.021,0.0161,0.0181,0.0228,0.0264,0.0247",0.0219
151,"0.0403,0.0407,0.0407,0.0393,0.0361,0.0387,0.0362,0.0343,0.0351,0.031,0.0285,0.0251,0.0182,0.0173,0.0173,0.0208,0.0203,0.021,0.0161,0.0181,0.0228,0.0264,0.0247,0.0219",0.023
152,"0.0407,0.0407,0.0393,0.0361,0.0387,0.0362,0.0343,0.0351,0.031,0.0285,0.0251,0.0182,0.0173,0.0173,0.0208,0.0203,0.021,0.0161,0.0181,0.0228,0.0264,0.0247,0.0219,0.023",0.0238
153,"0.0407,0.0393,0.0361,0.0387,0.0362,0.0343,0.0351,0.031,0.0285,0.0251,0.0182,0.0173,0.0173,0.0208,0.0203,0.021,0.0161,0.0181,0.0228,0.0264,0.0247,0.0219,0.023,0.0238",0.0304
154,"0.0393,0.0361,0.0387,0.0362,0.0343,0.0351,0.031,0.0285,0.0251,0.0182,0.0173,0.0173,0.0208,0.0203,0.021,0.0161,0.0181,0.0228,0.0264,0.0247,0.0219,0.023,0.0238,0.0304",0.0313
155,"0.0361,0.0387,0.0362,0.0343,0.0351,0.031,0.0285,0.0251,0.0182,0.0173,0.0173,0.0208,0.0203,0.021,0.0161,0.0181,0.0228,0.0264,0.0247,0.0219,0.023,0.0238,0.0304,0.0313",0.0306
156,"0.0387,0.0362,0.0343,0.0351,0.031,0.0285,0.0251,0.0182,0.0173,0.0173,0.0208,0.0203,0.021,0.0161,0.0181,0.0228,0.0264,0.0247,0.0219,0.023,0.0238,0.0304,0.0313,0.0306",0.0295
157,"0.0362,0.0343,0.0351,0.031,0.0285,0.0251,0.0182,0.0173,0.0173,0.0208,0.0203,0.021,0.0161,0.0181,0.0228,0.0264,0.0247,0.0219,0.023,0.0238,0.0304,0.0313,0.0306,0.0295",0.0255
158,"0.0343,0.0351,0.031,0.0285,0.0251,0.0182,0.0173,0.0173,0.0208,0.0203,0.021,0.0161,0.0181,0.0228,0.0264,0.0247,0.0219,0.023,0.0238,0.0304,0.0313,0.0306,0.0295,0.0255",0.0311
159,"0.0351,0.031,0.0285,0.0251,0.0182,0.0173,0.0173,0.0208,0.0203,0.021,0.0161,0.0181,0.0228,0.0264,0.0247,0.0219,0.023,0.0238,0.0304,0.0313,0.0306,0.0295,0.0255,0.0311",0.0277
160,"0.031,0.0285,0.0251,0.0182,0.0173,0.0173,0.0208,0.0203,0.021,0.0161,0.0181,0.0228,0.0264,0.0247,0.0219,0.023,0.0238,0.0304,0.0313,0.0306,0.0295,0.0255,0.0311,0.0277",0.0229
161,"0.0285,0.0251,0.0182,0.0173,0.0173,0.0208,0.0203,0.021,0.0161,0.0181,0.0228,0.0264,0.0247,0.0219,0.023,0.0238,0.0304,0.0313,0.0306,0.0295,0.0255,0.0311,0.0277,0.0229",0.0222
162,"0.0251,0.0182,0.0173,0.0173,0.0208,0.0203,0.021,0.0161,0.0181,0.0228,0.0264,0.0247,0.0219,0.023,0.0238,0.0304,0.0313,0.0306,0.0295,0.0255,0.0311,0.0277,0.0229,0.0222",0.0316
163,"0.0182,0.0173,0.0173,0.0208,0.0203,0.021,0.0161,0.0181,0.0228,0.0264,0.0247,0.0219,0.023,0.0238,0.0304,0.0313,0.0306,0.0295,0.0255,0.0311,0.0277,0.0229,0.0222,0.0316",0.0397
164,"0.0173,0.0173,0.0208,0.0203,0.021,0.0161,0.0181,0.0228,0.0264,0.0247,0.0219,0.023,0.0238,0.0304,0.0313,0.0306,0.0295,0.0255,0.0311,0.0277,0.0229,0.0222,0.0316,0.0397",0.0456
165,"0.0173,0.0208,0.0203,0.021,0.0161,0.0181,0.0228,0.0264,0.0247,0.0219,0.023,0.0238,0.0304,0.0313,0.0306,0.0295,0.0255,0.0311,0.0277,0.0229,0.0222,0.0316,0.0397,0.0456",0.052
166,"0.0208,0.0203,0.021,0.0161,0.0181,0.0228,0.0264,0.0247,0.0219,0.023,0.0238,0.0304,0.0313,0.0306,0.0295,0.0255,0.0311,0.0277,0.0229,0.0222,0.0316,0.0397,0.0456,0.052",0.0541
167,"0.0203,0.021,0.0161,0.0181,0.0228,0.0264,0.0247,0.0219,0.023,0.0238,0.0304,0.0313,0.0306,0.0295,0.0255,0.0311,0.0277,0.0229,0.0222,0.0316,0.0397,0.0456,0.052,0.0541",0.061
168,"0.021,0.0161,0.0181,0.0228,0.0264,0.0247,0.0219,0.023,0.0238,0.0304,0.0313,0.0306,0.0295,0.0255,0.0311,0.0277,0.0229,0.0222,0.0316,0.0397,0.0456,0.052,0.0541,0.061",0.053
169,"0.0161,0.0181,0.0228,0.0264,0.0247,0.0219,0.023,0.0238,0.0304,0.0313,0.0306,0.0295,0.0255,0.0311,0.0277,0.0229,0.0222,0.0316,0.0397,0.0456,0.052,0.0541,0.061,0.053",0.0482
170,"0.0181,0.0228,0.0264,0.0247,0.0219,0.023,0.0238,0.0304,0.0313,0.0306,0.0295,0.0255,0.0311,0.0277,0.0229,0.0222,0.0316,0.0397,0.0456,0.052,0.0541,0.061,0.053,0.0482",0.0532
171,"0.0228,0.0264,0.0247,0.0219,0.023,0.0238,0.0304,0.0313,0.0306,0.0295,0.0255,0.0311,0.0277,0.0229,0.0222,0.0316,0.0397,0.0456,0.052,0.0541,0.061,0.053,0.0482,0.0532",0.0531
172,"0.0264,0.0247,0.0219,0.023,0.0238,0.0304,0.0313,0.0306,0.0295,0.0255,0.0311,0.0277,0.0229,0.0222,0.0316,0.0397,0.0456,0.052,0.0541,0.061,0.053,0.0482,0.0532,0.0531",0.0784
173,"0.0247,0.0219,0.023,0.0238,0.0304,0.0313,0.0306,0.0295,0.0255,0.0311,0.0277,0.0229,0.0222,0.0316,0.0397,0.0456,0.052,0.0541,0.061,0.053,0.0482,0.0532,0.0531,0.0784",0.0839
174,"0.0219,0.023,0.0238,0.0304,0.0313,0.0306,0.0295,0.0255,0.0311,0.0277,0.0229,0.0222,0.0316,0.0397,0.0456,0.052,0.0541,0.061,0.053,0.0482,0.0532,0.0531,0.0784,0.0839",0.0929
175,"0.023,0.0238,0.0304,0.0313,0.0306,0.0295,0.0255,0.0311,0.0277,0.0229,0.0222,0.0316,0.0397,0.0456,0.052,0.0541,0.061,0.053,0.0482,0.0532,0.0531,0.0784,0.0839,0.0929",0.1106
176,"0.0238,0.0304,0.0313,0.0306,0.0295,0.0255,0.0311,0.0277,0.0229,0.0222,0.0316,0.0397,0.0456,0.052,0.0541,0.061,0.053,0.0482,0.0532,0.0531,0.0784,0.0839,0.0929,0.1106",0.1256
177,"0.0304,0.0313,0.0306,0.0295,0.0255,0.0311,0.0277,0.0229,0.0222,0.0316,0.0397,0.0456,0.052,0.0541,0.061,0.053,0.0482,0.0532,0.0531,0.0784,0.0839,0.0929,0.1106,0.1256",0.1136
178,"0.0313,0.0306,0.0295,0.0255,0.0311,0.0277,0.0229,0.0222,0.0316,0.0397,0.0456,0.052,0.0541,0.061,0.053,0.0482,0.0532,0.0531,0.0784,0.0839,0.0929,0.1106,0.1256,0.1136",0.1163
179,"0.0306,0.0295,0.0255,0.0311,0.0277,0.0229,0.0222,0.0316,0.0397,0.0456,0.052,0.0541,0.061,0.053,0.0482,0.0532,0.0531,0.0784,0.0839,0.0929,0.1106,0.1256,0.1136,0.1163",0.1111
180,"0.0295,0.0255,0.0311,0.0277,0.0229,0.0222,0.0316,0.0397,0.0456,0.052,0.0541,0.061,0.053,0.0482,0.0532,0.0531,0.0784,0.0839,0.0929,0.1106,0.1256,0.1136,0.1163,0.1111",0.1043
181,"0.0255,0.0311,0.0277,0.0229,0.0222,0.0316,0.0397,0.0456,0.052,0.0541,0.061,0.053,0.0482,0.0532,0.0531,0.0784,0.0839,0.0929,0.1106,0.1256,0.1136,0.1163,0.1111,0.1043",0.1032
182,"0.0311,0.0277,0.0229,0.0222,0.0316,0.0397,0.0456,0.052,0.0541,0.061,0.053,0.0482,0.0532,0.0531,0.0784,0.0839,0.0929,0.1106,0.1256,0.1136,0.1163,0.1111,0.1043,0.1032",0.1029
183,"0.0277,0.0229,0.0222,0.0316,0.0397,0.0456,0.052,0.0541,0.061,0.053,0.0482,0.0532,0.0531,0.0784,0.0839,0.0929,0.1106,0.1256,0.1136,0.1163,0.1111,0.1043,0.1032,0.1029",0.1165
184,"0.0229,0.0222,0.0316,0.0397,0.0456,0.052,0.0541,0.061,0.053,0.0482,0.0532,0.0531,0.0784,0.0839,0.0929,0.1106,0.1256,0.1136,0.1163,0.1111,0.1043,0.1032,0.1029,0.1165",0.1179
185,"0.0222,0.0316,0.0397,0.0456,0.052,0.0541,0.061,0.053,0.0482,0.0532,0.0531,0.0784,0.0839,0.0929,0.1106,0.1256,0.1136,0.1163,0.1111,0.1043,0.1032,0.1029,0.1165,0.1179",0.1202
186,"0.0316,0.0397,0.0456,0.052,0.0541,0.061,0.053,0.0482,0.0532,0.0531,0.0784,0.0839,0.0929,0.1106,0.1256,0.1136,0.1163,0.1111,0.1043,0.1032,0.1029,0.1165,0.1179,0.1202",0.1433
187,"0.0397,0.0456,0.052,0.0541,0.061,0.053,0.0482,0.0532,0.0531,0.0784,0.0839,0.0929,0.1106,0.1256,0.1136,0.1163,0.1111,0.1043,0.1032,0.1029,0.1165,0.1179,0.1202,0.1433",0.1354
188,"0.0456,0.052,0.0541,0.061,0.053,0.0482,0.0532,0.0531,0.0784,0.0839,0.0929,0.1106,0.1256,0.1136,0.1163,0.1111,0.1043,0.1032,0.1029,0.1165,0.1179,0.1202,0.1433,0.1354",0.1329
189,"0.052,0.0541,0.061,0.053,0.0482,0.0532,0.0531,0.0784,0.0839,0.0929,0.1106,0.1256,0.1136,0.1163,0.1111,0.1043,0.1032,0.1029,0.1165,0.1179,0.1202,0.1433,0.1354,0.1329",0.1327
190,"0.0541,0.061,0.053,0.0482,0.0532,0.0531,0.0784,0.0839,0.0929,0.1106,0.1256,0.1136,0.1163,0.1111,0.1043,0.1032,0.1029,0.1165,0.1179,0.1202,0.1433,0.1354,0.1329,0.1327",0.1299
191,"0.061,0.053,0.0482,0.0532,0.0531,0.0784,0.0839,0.0929,0.1106,0.1256,0.1136,0.1163,0.1111,0.1043,0.1032,0.1029,0.1165,0.1179,0.1202,0.1433,0.1354,0.1329,0.1327,0.1299",0.134
192,"0.053,0.0482,0.0532,0.0531,0.0784,0.0839,0.0929,0.1106,0.1256,0.1136,0.1163,0.1111,0.1043,0.1032,0.1029,0.1165,0.1179,0.1202,0.1433,0.1354,0.1329,0.1327,0.1299,0.134",0.1415
193,"0.0482,0.0532,0.0531,0.0784,0.0839,0.0929,0.1106,0.1256,0.1136,0.1163,0.1111,0.1043,0.1032,0.1029,0.1165,0.1179,0.1202,0.1433,0.1354,0.1329,0.1327,0.1299,0.134,0.1415",0.1363
194,"0.0532,0.0531,0.0784,0.0839,0.0929,0.1106,0.1256,0.1136,0.1163,0.1111,0.1043,0.1032,0.1029,0.1165,0.1179,0.1202,0.1433,0.1354,0.1329,0.1327,0.1299,0.134,0.1415,0.1363",0.1397
195,"0.0531,0.0784,0.0839,0.0929,0.1106,0.1256,0.1136,0.1163,0.1111,0.1043,0.1032,0.1029,0.1165,0.1179,0.1202,0.1433,0.1354,0.1329,0.1327,0.1299,0.134,0.1415,0.1363,0.1397",0.1408
196,"0.0784,0.0839,0.0929,0.1106,0.1256,0.1136,0.1163,0.1111,0.1043,0.1032,0.1029,0.1165,0.1179,0.1202,0.1433,0.1354,0.1329,0.1327,0.1299,0.134,0.1415,0.1363,0.1397,0.1408",0.1399
197,"0.0839,0.0929,0.1106,0.1256,0.1136,0.1163,0.1111,0.1043,0.1032,0.1029,0.1165,0.1179,0.1202,0.1433,0.1354,0.1329,0.1327,0.1299,0.134,0.1415,0.1363,0.1397,0.1408,0.1399",0.1352
198,"0.0929,0.1106,0.1256,0.1136,0.1163,0.1111,0.1043,0.1032,0.1029,0.1165,0.1179,0.1202,0.1433,0.1354,0.1329,0.1327,0.1299,0.134,0.1415,0.1363,0.1397,0.1408,0.1399,0.1352",0.144
199,"0.1106,0.1256,0.1136,0.1163,0.1111,0.1043,0.1032,0.1029,0.1165,0.1179,0.1202,0.1433,0.1354,0.1329,0.1327,0.1299,0.134,0.1415,0.1363,0.1397,0.1408,0.1399,0.1352,0.144",0.1397
200,"0.1256,0.1136,0.1163,0.1111,0.1043,0.1032,0.1029,0.1165,0.1179,0.1202,0.1433,0.1354,0.1329,0.1327,0.1299,0.134,0.1415,0.1363,0.1397,0.1408,0.1399,0.1352,0.144,0.1397",0.1388
201,"0.1136,0.1163,0.1111,0.1043,0.1032,0.1029,0.1165,0.1179,0.1202,0.1433,0.1354,0.1329,0.1327,0.1299,0.134,0.1415,0.1363,0.1397,0.1408,0.1399,0.1352,0.144,0.1397,0.1388",0.1286
202,"0.1163,0.1111,0.1043,0.1032,0.1029,0.1165,0.1179,0.1202,0.1433,0.1354,0.1329,0.1327,0.1299,0.134,0.1415,0.1363,0.1397,0.1408,0.1399,0.1352,0.144,0.1397,0.1388,0.1286",0.1211
203,"0.1111,0.1043,0.1032,0.1029,0.1165,0.1179,0.1202,0.1433,0.1354,0.1329,0.1327,0.1299,0.134,0.1415,0.1363,0.1397,0.1408,0.1399,0.1352,0.144,0.1397,0.1388,0.1286,0.1211",0.1165
204,"0.1043,0.1032,0.1029,0.1165,0.1179,0.1202,0.1433,0.1354,0.1329,0.1327,0.1299,0.134,0.1415,0.1363,0.1397,0.1408,0.1399,0.1352,0.144,0.1397,0.1388,0.1286,0.1211,0.1165",0.1195
205,"0.1032,0.1029,0.1165,0.1179,0.1202,0.1433,0.1354,0.1329,0.1327,0.1299,0.134,0.1415,0.1363,0.1397,0.1408,0.1399,0.1352,0.144,0.1397,0.1388,0.1286,0.1211,0.1165,0.1195",0.1141
206,"0.1029,0.1165,0.1179,0.1202,0.1433,0.1354,0.1329,0.1327,0.1299,0.134,0.1415,0.1363,0.1397,0.1408,0.1399,0.1352,0.144,0.1397,0.1388,0.1286,0.1211,0.1165,0.1195,0.1141",0.107
207,"0.1165,0.1179,0.1202,0.1433,0.1354,0.1329,0.1327,0.1299,0.134,0.1415,0.1363,0.1397,0.1408,0.1399,0.1352,0.144,0.1397,0.1388,0.1286,0.1211,0.1165,0.1195,0.1141,0.107",0.1315
208,"0.1179,0.1202,0.1433,0.1354,0.1329,0.1327,0.1299,0.134,0.1415,0.1363,0.1397,0.1408,0.1399,0.1352,0.144,0.1397,0.1388,0.1286,0.1211,0.1165,0.1195,0.1141,0.107,0.1315",0.1476
209,"0.1202,0.1433,0.1354,0.1329,0.1327,0.1299,0.134,0.1415,0.1363,0.1397,0.1408,0.1399,0.1352,0.144,0.1397,0.1388,0.1286,0.1211,0.1165,0.1195,0.1141,0.107,0.1315,0.1476",0.2368
210,"0.1433,0.1354,0.1329,0.1327,0.1299,0.134,0.1415,0.1363,0.1397,0.1408,0.1399,0.1352,0.144,0.1397,0.1388,0.1286,0.1211,0.1165,0.1195,0.1141,0.107,0.1315,0.1476,0.2368",0.2646
211,"0.1354,0.1329,0.1327,0.1299,0.134,0.1415,0.1363,0.1397,0.1408,0.1399,0.1352,0.144,0.1397,0.1388,0.1286,0.1211,0.1165,0.1195,0.1141,0.107,0.1315,0.1476,0.2368,0.2646",0.3231
212,"0.1329,0.1327,0.1299,0.134,0.1415,0.1363,0.1397,0.1408,0.1399,0.1352,0.144,0.1397,0.1388,0.1286,0.1211,0.1165,0.1195,0.1141,0.107,0.1315,0.1476,0.2368,0.2646,0.3231",0.3903
213,"0.1327,0.1299,0.134,0.1415,0.1363,0.1397,0.1408,0.1399,0.1352,0.144,0.1397,0.1388,0.1286,0.1211,0.1165,0.1195,0.1141,0.107,0.1315,0.1476,0.2368,0.2646,0.3231,0.3903",0.3031
214,"0.1299,0.134,0.1415,0.1363,0.1397,0.1408,0.1399,0.1352,0.144,0.1397,0.1388,0.1286,0.1211,0.1165,0.1195,0.1141,0.107,0.1315,0.1476,0.2368,0.2646,0.3231,0.3903,0.3031",0.1631
215,"0.134,0.1415,0.1363,0.1397,0.1408,0.1399,0.1352,0.144,0.1397,0.1388,0.1286,0.1211,0.1165,0.1195,0.1141,0.107,0.1315,0.1476,0.2368,0.2646,0.3231,0.3903,0.3031,0.1631",0.1485
216,"0.1415,0.1363,0.1397,0.1408,0.1399,0.1352,0.144,0.1397,0.1388,0.1286,0.1211,0.1165,0.1195,0.1141,0.107,0.1315,0.1476,0.2368,0.2646,0.3231,0.3903,0.3031,0.1631,0.1485",0.1147
217,"0.1363,0.1397,0.1408,0.1399,0.1352,0.144,0.1397,0.1388,0.1286,0.1211,0.1165,0.1195,0.1141,0.107,0.1315,0.1476,0.2368,0.2646,0.3231,0.3903,0.3031,0.1631,0.1485,0.1147",0.0906
218,"0.1397,0.1408,0.1399,0.1352,0.144,0.1397,0.1388,0.1286,0.1211,0.1165,0.1195,0.1141,0.107,0.1315,0.1476,0.2368,0.2646,0.3231,0.3903,0.3031,0.1631,0.1485,0.1147,0.0906",0.085
219,"0.1408,0.1399,0.1352,0.144,0.1397,0.1388,0.1286,0.1211,0.1165,0.1195,0.1141,0.107,0.1315,0.1476,0.2368,0.2646,0.3231,0.3903,0.3031,0.1631,0.1485,0.1147,0.0906,0.085",0.0878
220,"0.1399,0.1352,0.144,0.1397,0.1388,0.1286,0.1211,0.1165,0.1195,0.1141,0.107,0.1315,0.1476,0.2368,0.2646,0.3231,0.3903,0.3031,0.1631,0.1485,0.1147,0.0906,0.085,0.0878",0.0889
221,"0.1352,0.144,0.1397,0.1388,0.1286,0.1211,0.1165,0.1195,0.1141,0.107,0.1315,0.1476,0.2368,0.2646,0.3231,0.3903,0.3031,0.1631,0.1485,0.1147,0.0906,0.085,0.0878,0.0889",0.0862
