,X_test (sequence),y_test
23,"0.567,0.5628,0.5471,0.5519,0.5648,0.5564,0.5567,0.5557,0.5712,0.5638,0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069,0.6364,0.6248,0.6351,0.6351,0.621,0.6268,0.6097,0.5962,0.5924,0.5888,0.5487,0.5471,0.5564,0.5789,0.5776,0.5644,0.5599",0.5535
24,"0.5628,0.5471,0.5519,0.5648,0.5564,0.5567,0.5557,0.5712,0.5638,0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069,0.6364,0.6248,0.6351,0.6351,0.621,0.6268,0.6097,0.5962,0.5924,0.5888,0.5487,0.5471,0.5564,0.5789,0.5776,0.5644,0.5599,0.5535",0.5657
25,"0.5471,0.5519,0.5648,0.5564,0.5567,0.5557,0.5712,0.5638,0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069,0.6364,0.6248,0.6351,0.6351,0.621,0.6268,0.6097,0.5962,0.5924,0.5888,0.5487,0.5471,0.5564,0.5789,0.5776,0.5644,0.5599,0.5535,0.5657",0.5419
26,"0.5519,0.5648,0.5564,0.5567,0.5557,0.5712,0.5638,0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069,0.6364,0.6248,0.6351,0.6351,0.621,0.6268,0.6097,0.5962,0.5924,0.5888,0.5487,0.5471,0.5564,0.5789,0.5776,0.5644,0.5599,0.5535,0.5657,0.5419",0.54
27,"0.5648,0.5564,0.5567,0.5557,0.5712,0.5638,0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069,0.6364,0.6248,0.6351,0.6351,0.621,0.6268,0.6097,0.5962,0.5924,0.5888,0.5487,0.5471,0.5564,0.5789,0.5776,0.5644,0.5599,0.5535,0.5657,0.5419,0.54",0.5442
28,"0.5564,0.5567,0.5557,0.5712,0.5638,0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069,0.6364,0.6248,0.6351,0.6351,0.621,0.6268,0.6097,0.5962,0.5924,0.5888,0.5487,0.5471,0.5564,0.5789,0.5776,0.5644,0.5599,0.5535,0.5657,0.5419,0.54,0.5442",0.5532
29,"0.5567,0.5557,0.5712,0.5638,0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069,0.6364,0.6248,0.6351,0.6351,0.621,0.6268,0.6097,0.5962,0.5924,0.5888,0.5487,0.5471,0.5564,0.5789,0.5776,0.5644,0.5599,0.5535,0.5657,0.5419,0.54,0.5442,0.5532",0.5651
30,"0.5557,0.5712,0.5638,0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069,0.6364,0.6248,0.6351,0.6351,0.621,0.6268,0.6097,0.5962,0.5924,0.5888,0.5487,0.5471,0.5564,0.5789,0.5776,0.5644,0.5599,0.5535,0.5657,0.5419,0.54,0.5442,0.5532,0.5651",0.5602
31,"0.5712,0.5638,0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069,0.6364,0.6248,0.6351,0.6351,0.621,0.6268,0.6097,0.5962,0.5924,0.5888,0.5487,0.5471,0.5564,0.5789,0.5776,0.5644,0.5599,0.5535,0.5657,0.5419,0.54,0.5442,0.5532,0.5651,0.5602",0.558
32,"0.5638,0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069,0.6364,0.6248,0.6351,0.6351,0.621,0.6268,0.6097,0.5962,0.5924,0.5888,0.5487,0.5471,0.5564,0.5789,0.5776,0.5644,0.5599,0.5535,0.5657,0.5419,0.54,0.5442,0.5532,0.5651,0.5602,0.558",0.5676
33,"0.5519,0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069,0.6364,0.6248,0.6351,0.6351,0.621,0.6268,0.6097,0.5962,0.5924,0.5888,0.5487,0.5471,0.5564,0.5789,0.5776,0.5644,0.5599,0.5535,0.5657,0.5419,0.54,0.5442,0.5532,0.5651,0.5602,0.558,0.5676",0.575
34,"0.5776,0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069,0.6364,0.6248,0.6351,0.6351,0.621,0.6268,0.6097,0.5962,0.5924,0.5888,0.5487,0.5471,0.5564,0.5789,0.5776,0.5644,0.5599,0.5535,0.5657,0.5419,0.54,0.5442,0.5532,0.5651,0.5602,0.558,0.5676,0.575",0.5779
35,"0.5808,0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069,0.6364,0.6248,0.6351,0.6351,0.621,0.6268,0.6097,0.5962,0.5924,0.5888,0.5487,0.5471,0.5564,0.5789,0.5776,0.5644,0.5599,0.5535,0.5657,0.5419,0.54,0.5442,0.5532,0.5651,0.5602,0.558,0.5676,0.575,0.5779",0.5853
36,"0.584,0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069,0.6364,0.6248,0.6351,0.6351,0.621,0.6268,0.6097,0.5962,0.5924,0.5888,0.5487,0.5471,0.5564,0.5789,0.5776,0.5644,0.5599,0.5535,0.5657,0.5419,0.54,0.5442,0.5532,0.5651,0.5602,0.558,0.5676,0.575,0.5779,0.5853",0.5731
37,"0.5724,0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069,0.6364,0.6248,0.6351,0.6351,0.621,0.6268,0.6097,0.5962,0.5924,0.5888,0.5487,0.5471,0.5564,0.5789,0.5776,0.5644,0.5599,0.5535,0.5657,0.5419,0.54,0.5442,0.5532,0.5651,0.5602,0.558,0.5676,0.575,0.5779,0.5853,0.5731",0.5609
38,"0.5612,0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069,0.6364,0.6248,0.6351,0.6351,0.621,0.6268,0.6097,0.5962,0.5924,0.5888,0.5487,0.5471,0.5564,0.5789,0.5776,0.5644,0.5599,0.5535,0.5657,0.5419,0.54,0.5442,0.5532,0.5651,0.5602,0.558,0.5676,0.575,0.5779,0.5853,0.5731,0.5609",0.5619
39,"0.558,0.5564,0.5535,0.5606,0.5644,0.5888,0.5914,0.5741,0.566,0.5827,0.5908,0.5869,0.5876,0.6043,0.604,0.6473,0.6634,0.6917,0.7097,0.6968,0.7155,0.7026,0.639,0.6242,0.63,0.6287,0.6069,0.6364,0.6248,0.6351,0.6351,0.621,0.6268,0.6097,0.5962,0.5924,0.5888,0.5487,0.5471,0.5564,0.5789,0.5776,0.5644,0.5599,0.5535,0.5657,0.5419,0.54,0.5442,0.5532,0.5651,0.5602,0.558,0.5676,0.575,0.5779,0.5853,0.5731,0.5609,0.5619",0.5577
