,X_test (sequence),y_test
117,"0.5281,0.5406,0.5168,0.4989,0.5011,0.5034,0.4895,0.4892,0.4821,0.4786,0.4706,0.4818,0.4651,0.449,0.4446,0.4413,0.4099,0.406,0.3938,0.4063,0.3626,0.3382,0.3321,0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166",0.4391
118,"0.5406,0.5168,0.4989,0.5011,0.5034,0.4895,0.4892,0.4821,0.4786,0.4706,0.4818,0.4651,0.449,0.4446,0.4413,0.4099,0.406,0.3938,0.4063,0.3626,0.3382,0.3321,0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391",0.5088
119,"0.5168,0.4989,0.5011,0.5034,0.4895,0.4892,0.4821,0.4786,0.4706,0.4818,0.4651,0.449,0.4446,0.4413,0.4099,0.406,0.3938,0.4063,0.3626,0.3382,0.3321,0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088",0.5149
120,"0.4989,0.5011,0.5034,0.4895,0.4892,0.4821,0.4786,0.4706,0.4818,0.4651,0.449,0.4446,0.4413,0.4099,0.406,0.3938,0.4063,0.3626,0.3382,0.3321,0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149",0.4593
121,"0.5011,0.5034,0.4895,0.4892,0.4821,0.4786,0.4706,0.4818,0.4651,0.449,0.4446,0.4413,0.4099,0.406,0.3938,0.4063,0.3626,0.3382,0.3321,0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593",0.4593
122,"0.5034,0.4895,0.4892,0.4821,0.4786,0.4706,0.4818,0.4651,0.449,0.4446,0.4413,0.4099,0.406,0.3938,0.4063,0.3626,0.3382,0.3321,0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593",0.46
123,"0.4895,0.4892,0.4821,0.4786,0.4706,0.4818,0.4651,0.449,0.4446,0.4413,0.4099,0.406,0.3938,0.4063,0.3626,0.3382,0.3321,0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46",0.4818
124,"0.4892,0.4821,0.4786,0.4706,0.4818,0.4651,0.449,0.4446,0.4413,0.4099,0.406,0.3938,0.4063,0.3626,0.3382,0.3321,0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818",0.4712
125,"0.4821,0.4786,0.4706,0.4818,0.4651,0.449,0.4446,0.4413,0.4099,0.406,0.3938,0.4063,0.3626,0.3382,0.3321,0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712",0.4867
126,"0.4786,0.4706,0.4818,0.4651,0.449,0.4446,0.4413,0.4099,0.406,0.3938,0.4063,0.3626,0.3382,0.3321,0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867",0.4821
127,"0.4706,0.4818,0.4651,0.449,0.4446,0.4413,0.4099,0.406,0.3938,0.4063,0.3626,0.3382,0.3321,0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821",0.4783
128,"0.4818,0.4651,0.449,0.4446,0.4413,0.4099,0.406,0.3938,0.4063,0.3626,0.3382,0.3321,0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783",0.4638
129,"0.4651,0.449,0.4446,0.4413,0.4099,0.406,0.3938,0.4063,0.3626,0.3382,0.3321,0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638",0.4568
130,"0.449,0.4446,0.4413,0.4099,0.406,0.3938,0.4063,0.3626,0.3382,0.3321,0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568",0.4613
131,"0.4446,0.4413,0.4099,0.406,0.3938,0.4063,0.3626,0.3382,0.3321,0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613",0.4658
132,"0.4413,0.4099,0.406,0.3938,0.4063,0.3626,0.3382,0.3321,0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658",0.4625
133,"0.4099,0.406,0.3938,0.4063,0.3626,0.3382,0.3321,0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625",0.4667
134,"0.406,0.3938,0.4063,0.3626,0.3382,0.3321,0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667",0.4552
135,"0.3938,0.4063,0.3626,0.3382,0.3321,0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552",0.4654
136,"0.4063,0.3626,0.3382,0.3321,0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654",0.4175
137,"0.3626,0.3382,0.3321,0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175",0.4156
138,"0.3382,0.3321,0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156",0.4137
139,"0.3321,0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137",0.4025
140,"0.3455,0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137,0.4025",0.4233
141,"0.3787,0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137,0.4025,0.4233",0.4336
142,"0.3607,0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137,0.4025,0.4233,0.4336",0.4243
143,"0.352,0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137,0.4025,0.4233,0.4336,0.4243",0.3822
144,"0.3719,0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137,0.4025,0.4233,0.4336,0.4243,0.3822",0.3809
145,"0.3838,0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137,0.4025,0.4233,0.4336,0.4243,0.3822,0.3809",0.3954
146,"0.351,0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137,0.4025,0.4233,0.4336,0.4243,0.3822,0.3809,0.3954",0.3851
147,"0.3552,0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137,0.4025,0.4233,0.4336,0.4243,0.3822,0.3809,0.3954,0.3851",0.3912
148,"0.3613,0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137,0.4025,0.4233,0.4336,0.4243,0.3822,0.3809,0.3954,0.3851,0.3912",0.3877
149,"0.3478,0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137,0.4025,0.4233,0.4336,0.4243,0.3822,0.3809,0.3954,0.3851,0.3912,0.3877",0.3854
150,"0.3423,0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137,0.4025,0.4233,0.4336,0.4243,0.3822,0.3809,0.3954,0.3851,0.3912,0.3877,0.3854",0.4008
151,"0.3475,0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137,0.4025,0.4233,0.4336,0.4243,0.3822,0.3809,0.3954,0.3851,0.3912,0.3877,0.3854,0.4008",0.3903
152,"0.3488,0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137,0.4025,0.4233,0.4336,0.4243,0.3822,0.3809,0.3954,0.3851,0.3912,0.3877,0.3854,0.4008,0.3903",0.3983
153,"0.3497,0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137,0.4025,0.4233,0.4336,0.4243,0.3822,0.3809,0.3954,0.3851,0.3912,0.3877,0.3854,0.4008,0.3903,0.3983",0.4057
154,"0.3417,0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137,0.4025,0.4233,0.4336,0.4243,0.3822,0.3809,0.3954,0.3851,0.3912,0.3877,0.3854,0.4008,0.3903,0.3983,0.4057",0.4044
155,"0.3472,0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137,0.4025,0.4233,0.4336,0.4243,0.3822,0.3809,0.3954,0.3851,0.3912,0.3877,0.3854,0.4008,0.3903,0.3983,0.4057,0.4044",0.3973
156,"0.3375,0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137,0.4025,0.4233,0.4336,0.4243,0.3822,0.3809,0.3954,0.3851,0.3912,0.3877,0.3854,0.4008,0.3903,0.3983,0.4057,0.4044,0.3973",0.388
157,"0.3362,0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137,0.4025,0.4233,0.4336,0.4243,0.3822,0.3809,0.3954,0.3851,0.3912,0.3877,0.3854,0.4008,0.3903,0.3983,0.4057,0.4044,0.3973,0.388",0.397
158,"0.3295,0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137,0.4025,0.4233,0.4336,0.4243,0.3822,0.3809,0.3954,0.3851,0.3912,0.3877,0.3854,0.4008,0.3903,0.3983,0.4057,0.4044,0.3973,0.388,0.397",0.3951
159,"0.3208,0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137,0.4025,0.4233,0.4336,0.4243,0.3822,0.3809,0.3954,0.3851,0.3912,0.3877,0.3854,0.4008,0.3903,0.3983,0.4057,0.4044,0.3973,0.388,0.397,0.3951",0.4025
160,"0.3247,0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137,0.4025,0.4233,0.4336,0.4243,0.3822,0.3809,0.3954,0.3851,0.3912,0.3877,0.3854,0.4008,0.3903,0.3983,0.4057,0.4044,0.3973,0.388,0.397,0.3951,0.4025",0.3999
161,"0.3224,0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137,0.4025,0.4233,0.4336,0.4243,0.3822,0.3809,0.3954,0.3851,0.3912,0.3877,0.3854,0.4008,0.3903,0.3983,0.4057,0.4044,0.3973,0.388,0.397,0.3951,0.4025,0.3999",0.3954
162,"0.3237,0.3215,0.3089,0.3009,0.316,0.3729,0.405,0.396,0.4082,0.4275,0.4426,0.4037,0.3976,0.4025,0.4166,0.4391,0.5088,0.5149,0.4593,0.4593,0.46,0.4818,0.4712,0.4867,0.4821,0.4783,0.4638,0.4568,0.4613,0.4658,0.4625,0.4667,0.4552,0.4654,0.4175,0.4156,0.4137,0.4025,0.4233,0.4336,0.4243,0.3822,0.3809,0.3954,0.3851,0.3912,0.3877,0.3854,0.4008,0.3903,0.3983,0.4057,0.4044,0.3973,0.388,0.397,0.3951,0.4025,0.3999,0.3954",0.3925
